eventID,basisOfRecord,occurrenceID,scientificNameID,scientificName,taxonRank
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S01_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S01_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S01_005,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S01_006,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_005,lsid:marinespecies.org:taxname:106122,Balanus,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_006,lsid:marinespecies.org:taxname:106122,Balanus,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_007,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S02_008,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S03_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S03_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S03_005,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S03_006,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S04_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S04_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S04_005,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S04_006,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_003,lsid:marinespecies.org:taxname:143985,Ralfsia,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_004,lsid:marinespecies.org:taxname:143985,Ralfsia,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_007,lsid:marinespecies.org:taxname:106122,Balanus,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_008,lsid:marinespecies.org:taxname:106122,Balanus,Genus
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_009,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S05_010,lsid:marinespecies.org:taxname:883,Polychaeta,Class
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S06_001,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S06_002,lsid:marinespecies.org:taxname:234476,Ulva prolifera,Species
ARG_PMADRY_PCUEVA_RS_20221216_HIGH,HumanObservation,ARG_PMADRY_PCUEVA_RS_20221216_HIGH_S06_005,lsid:marinespecies.org:taxname:106122,Balanus,Genus
